threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
3,14,14,616,184,324,48,1,4,72,42,cnn,dropout=0.2,,,0.2,3,0.4439267988006274,0.8315217391304348,0.03125,1.0,0.06060606060606061,0.8797814207650273,0.043478260869565216,0.13395848085732218,0.9876543209876543,0.0,0.0,0.0,0.80390625,0.07266414141414142,0.012219895058477898
2,14,14,615,184,322,51,1,2,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,5,0.6098967616756757,0.7282608695652174,0.0196078431372549,1.0,0.038461538461538464,0.8797814207650273,0.043478260869565216,0.18755988760239986,0.9937888198757764,0.0,0.0,0.0,0.9328125,0.10833333333333334,0.0061538078521595286
2,14,7,664,184,336,51,1,2,72,42,cnn,dropout=0.2,,,0.2,12,0.4353271933893363,0.8858695652173914,0.0,0.0,0.0,0.8797814207650273,0.043478260869565216,0.09579204939600607,0.9940476190476191,0.0,0.0,0.0,0.8637724550898205,0.03511904761904762,0.005910815869887038
4,3,0,962,217,410,54,1,5,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,30,0.249819210597447,0.9447004608294931,0.0,0.0,0.0,0.9212962962962963,0.041666666666666664,0.04983622900925758,0.9878048780487805,0.0,0.0,0.0,0.40740740740740744,0.011614215761602188,0.012106264928278787
4,14,14,622,184,325,50,1,4,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,11,0.6628836815555891,0.6413043478260869,0.014925373134328358,1.0,0.029411764705882353,0.8743169398907104,0.041666666666666664,0.2240582381755912,0.9876923076923076,0.0,0.0,0.0,0.8995327102803738,0.7575187969924813,0.012178657311679324
3,3,0,961,217,410,53,1,5,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,29,0.2925017587840557,0.9539170506912442,0.0,0.0,0.0,0.888888888888889,0.04,0.037027321632297786,0.9878048780487805,0.0,0.0,0.0,0.13086419753086423,0.008264969764886738,0.012104283446374256
4,3,0,962,217,410,54,1,5,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,28,0.2752374011491026,0.9539170506912442,0.0,0.0,0.0,0.888888888888889,0.04,0.03831967056453432,0.9878048780487805,0.0,0.0,0.0,0.32493827160493827,0.010327132367674583,0.012104326284723776
4,7,14,723,203,361,51,1,5,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,15,0.5852132162877491,0.8325123152709359,0.02857142857142857,1.0,0.05555555555555555,0.8836633663366337,0.038461538461538464,0.1232744356019581,0.9861495844875346,0.0,0.0,0.0,0.848876404494382,0.4139830508474576,0.013700826105065995
4,3,7,876,217,397,54,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,23,0.2814390914780753,0.9354838709677419,0.0,0.0,0.0,0.9074074074074074,0.037037037037037035,0.04912582850373969,0.9874055415617129,0.0,0.0,0.0,0.3168367346938776,0.010396999592135914,0.012500999636963658
2,7,14,716,203,358,52,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,15,0.4739380744951112,0.8423645320197044,0.030303030303030304,1.0,0.058823529411764705,0.8787128712871287,0.037037037037037035,0.11624072821187954,0.9916201117318436,0.0,0.0,0.0,0.7877934272300469,0.06458687040181098,0.008304817380222639
