config,permutation,pooled_roc_auc,pooled_pr_auc,elapsed_sec
rf_all_T4_L14_W7,91,0.15483859227717733,0.06425816771269087,5.3
rf_all_T4_L14_W7,92,0.46742328081833795,0.045187365926165714,5.07
rf_all_T4_L14_W7,93,0.39723230137737914,0.1688432380609496,5.37
rf_all_T4_L14_W7,94,0.11756407511622217,0.060533237573113054,5.04
rf_all_T4_L14_W7,95,0.3435967778001996,0.11143501718862552,5.12
rf_all_T4_L14_W7,96,0.3495933414411675,0.1112283665960102,5.15
rf_all_T4_L14_W7,97,0.7027391418860447,0.2983791520351851,4.97
rf_all_T4_L14_W7,98,0.14359931865828093,0.12012512183910323,5.16
rf_all_T4_L14_W7,99,0.2713440155582802,0.0650684187188644,5.1
rf_all_T4_L14_W7,100,0.38456609147260845,0.16475334484211568,5.14
rf_all_T4_L14_W7,101,0.29759359268852936,0.09724622868808452,5.36
rf_all_T4_L14_W7,102,0.2916178082714763,0.10264186487854582,5.32
rf_all_T4_L14_W7,103,0.2917471245067585,0.04871563120978281,5.21
rf_all_T4_L14_W7,104,0.507760989010989,0.11157724923291333,5.38
rf_all_T4_L14_W7,105,0.11376826645813985,0.0781066580192511,5.32
rf_all_T4_L14_W7,106,0.5525155243260508,0.16078666584333257,5.57
rf_all_T4_L14_W7,107,0.2317828830831195,0.07944618598200862,5.25
rf_all_T4_L14_W7,108,0.37787835060562336,0.08729652929061847,5.34
rf_all_T4_L14_W7,109,0.2837216187287923,0.06946125743812895,5.3
rf_all_T4_L14_W7,110,0.2081081081081081,0.10032570989162959,5.5
rf_all_T4_L14_W7,111,0.1577898891185867,0.13076185864747242,5.53
rf_all_T4_L14_W7,112,0.22400651129140614,0.07853514448272536,5.44
rf_all_T4_L14_W7,113,0.7633875519904931,0.25403573955079634,5.35
rf_all_T4_L14_W7,114,0.563015558107967,0.16258885281218471,5.47
rf_all_T4_L14_W7,115,0.2857249932762809,0.15159623693368196,5.53
rf_all_T4_L14_W7,116,0.389766081871345,0.036715094622347635,5.41
rf_all_T4_L14_W7,117,0.2426929128801259,0.07953717013010718,5.48
rf_all_T4_L14_W7,118,0.22676956721161096,0.14026719796487272,5.45
rf_all_T4_L14_W7,119,0.19959585610200364,0.04842994588857935,5.36
rf_all_T4_L14_W7,120,0.486119595147027,0.10353393669153957,5.48
rf_all_T4_L14_W7,121,0.6100025419420437,0.09396990824637287,5.28
rf_all_T4_L14_W7,122,0.21730172001911133,0.09447772738954573,5.31
rf_all_T4_L14_W7,123,0.13519439837847796,0.09393073312741945,5.44
rf_all_T4_L14_W7,124,0.6325826072661516,0.09482442621129264,5.28
rf_all_T4_L14_W7,125,0.16154484048733686,0.10602340634967948,5.29
rf_all_T4_L14_W7,126,0.360343937046152,0.0999151563603364,5.31
rf_all_T4_L14_W7,127,0.16227616141803786,0.11474555916905932,5.29
rf_all_T4_L14_W7,128,0.39487114863587675,0.08487899062508487,5.23
rf_all_T4_L14_W7,129,0.27169452678963546,0.08014085409968916,5.37
rf_all_T4_L14_W7,130,0.1031380004091932,0.11866941928518472,5.41
rf_all_T4_L14_W7,131,0.26808989365976477,0.10299942566922676,5.15
rf_all_T4_L14_W7,132,0.31899825160013245,0.07884622517247417,5.04
rf_all_T4_L14_W7,133,0.7067253571944004,0.23715126352428004,5.3
rf_all_T4_L14_W7,134,0.6632192940038685,0.3305463049916809,5.16
rf_all_T4_L14_W7,135,0.31424098583154403,0.08332399762055864,5.22
rf_all_T4_L14_W7,136,0.6640105206254159,0.22931379830947135,5.17
rf_all_T4_L14_W7,137,0.32187567209118934,0.1628229270492013,5.18
rf_all_T4_L14_W7,138,0.15649617871840096,0.04763675161403516,4.92
rf_all_T4_L14_W7,139,0.3866240751496175,0.13322845965025287,5.22
rf_all_T4_L14_W7,140,0.2979890997932719,0.14806466333597826,5.17
rf_all_T4_L14_W7,141,0.7543542026300646,0.23755477487442456,5.16
rf_all_T4_L14_W7,142,0.5106965831127271,0.12572614701619075,5.27
rf_all_T4_L14_W7,143,0.5821025524502006,0.24304116253493718,5.24
rf_all_T4_L14_W7,144,0.2843930756541168,0.14349851152494975,5.33
rf_all_T4_L14_W7,145,0.28034580922157926,0.12560434931698483,5.34
rf_all_T4_L14_W7,146,0.13499680715197956,0.07560546660465622,5.31
