threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,7,14,716,203,358,52,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,18,0.6318960003554821,0.812807881773399,0.02564102564102564,1.0,0.05,0.8391089108910891,0.02857142857142857,0.1415354461886781,0.9916201117318436,0.0,0.0,0.0,0.4629107981220657,0.00999116385961079,0.008327313737226779
2,14,14,615,184,322,51,1,2,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,5,0.6249784305691719,0.7554347826086957,0.021739130434782608,1.0,0.0425531914893617,0.8142076502732241,0.02857142857142857,0.1932381559149291,0.9937888198757764,0.0,0.0,0.0,0.9031250000000001,0.04805491990846682,0.006160056717864883
4,3,0,962,217,410,54,1,5,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,28,0.28186769996370586,0.9585253456221198,0.0,0.0,0.0,0.8657407407407408,0.027777777777777776,0.03380714708551105,0.9878048780487805,0.0,0.0,0.0,0.26222222222222225,0.009483715439452992,0.012104091360540114
2,14,0,713,184,348,51,1,2,72,42,cnn,dropout=0.2,,,0.2,9,0.46975238000353176,0.9293478260869565,0.0,0.0,0.0,0.8087431693989071,0.027777777777777776,0.06611585282610988,0.9942528735632183,0.0,0.0,0.0,0.24566473988439308,0.005652755173215531,0.005714147736672697
3,3,7,871,217,396,53,1,5,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,30,0.310633476291384,0.9032258064516129,0.0,0.0,0.0,0.8611111111111112,0.02702702702702703,0.07782988523602917,0.9873737373737373,0.0,0.0,0.0,0.1248081841432225,0.008475331680746056,0.01253676974489353
4,14,14,622,184,325,50,1,4,72,42,cnn,dropout=0.2,,,0.2,4,0.4144151285290718,0.8260869565217391,0.0,0.0,0.0,0.8032786885245902,0.02702702702702703,0.11303711664954266,0.9876923076923076,0.0,0.0,0.0,0.8613707165109035,0.08294068736141906,0.012192117706281215
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,27,0.38851275401456015,0.8847926267281107,0.0,0.0,0.0,0.8564814814814815,0.02631578947368421,0.10186853931507661,0.9923857868020305,0.0,0.0,0.0,0.26854219948849106,0.006795287984799299,0.007568388915998566
2,7,7,773,203,370,52,1,3,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,20,0.6915671466184514,0.896551724137931,0.0,0.0,0.0,0.8193069306930694,0.02564102564102564,0.08644012080963781,0.9918918918918919,0.0,0.0,0.0,0.5313351498637602,0.015032001383843625,0.00805203033970577
4,14,0,712,184,350,50,1,4,72,42,cnn,dropout=0.4,,,0.4,8,0.42961313637594384,0.9239130434782609,0.0,0.0,0.0,0.7923497267759563,0.02564102564102564,0.06328713466625495,0.9885714285714285,0.0,0.0,0.0,0.19869942196531792,0.00847017862093239,0.011334031223320279
3,14,14,616,184,324,48,1,4,72,42,cnn,dropout=0.2,,,0.2,4,0.5868863811095556,0.7391304347826086,0.02040816326530612,1.0,0.04,0.7868852459016393,0.025,0.18852642558764218,0.9876543209876543,0.0,0.0,0.0,0.7554687499999999,0.11888998277135121,0.012226684651782576
